RunDate,RunTime,ISO,Utility,PremiseId,Year,RateClass,Strata,MeterType,RecipeICap
2016-12-12,15:43,PJM,PPL,8223012000,2015,1,RNH,INT,0.
2016-12-12,15:43,PJM,PPL,8223012000,2016,1,RNH,INT,0.
2016-12-12,15:43,PJM,PPL,8223012000,2017,1,RNH,INT,0.
2016-12-12,15:43,PJM,PPL,5478083014,2016,GS3,GS3,INT,178.781
2016-12-12,15:43,PJM,PPL,5521125007,2016,GS3,GS3,INT,21.9728
2016-12-12,15:43,PJM,PPL,8915089000,2016,LP4,LP4,INT,2467.96
2016-12-12,15:43,PJM,PPL,8915089000,2015,LP4,LP4,INT,2636.63
2016-12-12,15:43,PJM,PPL,3525097011,2016,RS-GRS,RS-GRS,INT,70.4374
2016-12-12,15:43,PJM,PPL,3525097011,2017,RS-GRS,RS-GRS,INT,66.3425
2016-12-12,15:43,PJM,PPL,1750028008,2015,LP4,LP4,INT,518.034
2016-12-12,15:43,PJM,PPL,3865095024,2016,GS3,GS3,INT,83.0548
2016-12-12,15:43,PJM,PPL,4016056003,2016,GS3,GS3,INT,20.3807
2016-12-12,15:43,PJM,PPL,4016056003,2017,GS3,GS3,INT,44.7197
2016-12-12,15:43,PJM,PPL,8545463016,2016,GS3,GS3,INT,24.5534
2016-12-12,15:43,PJM,PPL,4036056009,2016,GS3,GS3,INT,0.
2016-12-12,15:43,PJM,PPL,4036056009,2017,GS3,GS3,INT,0.
2016-12-12,15:43,PJM,PPL,0283161008,2016,GS1,GS1,INT,27.6087
2016-12-12,15:43,PJM,PPL,2473348008,2016,GS1,GS1,INT,1.67876
2016-12-12,15:43,PJM,PPL,2541079003,2016,GH2,GH2,INT,10.2388
2016-12-12,15:43,PJM,PPL,8852022021,2016,GS1,GS1,INT,11.0623
2016-12-12,15:43,PJM,PPL,1474065007,2016,GS1,GS1,INT,2.74264
2016-12-12,15:43,PJM,PPL,1494065003,2016,GH2,GH2,INT,4.20381
2016-12-12,15:43,PJM,PPL,7834415009,2015,GS3,GS3,INT,248.586
2016-12-12,15:43,PJM,PPL,0379083002,2016,GS1,GS1,INT,13.7525
2016-12-12,15:43,PJM,PPL,0721076008,2016,GS1,GS1,INT,3.61501
2016-12-12,15:43,PJM,PPL,9948011013,2016,GS1,GS1,INT,25.9712
2016-12-12,15:43,PJM,PPL,9948011013,2017,GS1,GS1,INT,25.1082
2016-12-12,15:43,PJM,PPL,0982091001,2016,LP4,L4L,INT,268.599
2016-12-12,15:43,PJM,PPL,4338628509,2016,GS3,GS3,INT,173.452
2016-12-12,15:43,PJM,PPL,8707187011,2016,GS3,GS3,INT,15.1437
2016-12-12,15:43,PJM,PPL,5810108005,2016,GS3,GS3,INT,63.7106
2016-12-12,15:43,PJM,PPL,8477076009,2016,GS3,GS3,INT,399.76
2016-12-12,15:43,PJM,PPL,8477076009,2017,GS3,GS3,INT,394.865
2016-12-12,15:43,PJM,PPL,1186081006,2016,GS1,GS1,INT,0.742561
2016-12-12,15:43,PJM,PPL,1226081019,2016,GS1,GS1,INT,18.2763
2016-12-12,15:43,PJM,PPL,3792813241,2016,GS1,GS1,INT,0.760986
2016-12-12,15:43,PJM,PPL,5139897005,2016,GS1,GS1,INT,9.54514
2016-12-12,15:43,PJM,PPL,1046081002,2016,GS1,GS1,INT,0.638896
2016-12-12,15:43,PJM,PPL,4209058019,2016,GS3,GS3,INT,81.4488
2016-12-12,15:43,PJM,PPL,4057076010,2016,GS3,GS3,INT,351.161
2016-12-12,15:43,PJM,PPL,4178066034,2016,GS3,GS3,INT,107.408
2016-12-12,15:43,PJM,PPL,9302083002,2016,GS3,GS3,INT,267.743
2016-12-12,15:43,PJM,PPL,8147076004,2016,GS3,GS3,INT,23.2178
2016-12-12,15:43,PJM,PPL,2895341001,2016,GS3,GS3,INT,44.9663
2016-12-12,15:43,PJM,PPL,2259289008,2016,GS3,GS3,INT,45.0941
2016-12-12,15:43,PJM,PPL,8087076004,2016,GS1,GS1,INT,25.5406
2016-12-12,15:43,PJM,PPL,1286081035,2016,GS1,GS1,INT,9.80684
2016-12-12,15:43,PJM,PPL,1066081017,2016,GS1,GS1,INT,5.52711
2016-12-12,15:43,PJM,PPL,0966081005,2016,GS1,GS1,INT,0.49819
2016-12-12,15:43,PJM,PPL,0926081003,2016,GS1,GS1,INT,0.38164
2016-12-12,15:43,PJM,PPL,0726081009,2016,GS1,GS1,INT,4.38401
2016-12-12,15:43,PJM,PPL,0646081012,2016,GS1,GS1,INT,5.39249
2016-12-12,15:43,PJM,PPL,5251069016,2016,GS3,GS3,INT,214.45
2016-12-12,15:43,PJM,PPL,0550106011,2016,GS3,GS3,INT,338.614
2016-12-12,15:43,PJM,PPL,0481023009,2016,GS1,GS1,INT,4.07592
2016-12-12,15:43,PJM,PPL,4707036051,2016,GS3,GS3,INT,23.2291
2016-12-12,15:43,PJM,PPL,0167034086,2016,GS1,GS1,INT,0.
2016-12-12,15:43,PJM,PPL,0107034088,2016,GS3,GS3,INT,1.49607
2016-12-12,15:43,PJM,PPL,3125033000,2015,GS3,GS3,INT,54.4907
2016-12-12,15:43,PJM,PPL,3125033000,2016,GS3,GS3,INT,45.4543
2016-12-12,15:43,PJM,PPL,6982078013,2016,GS3,GS3,INT,161.594
2016-12-12,15:43,PJM,PPL,8410061002,2015,GS3,GS3,INT,37.6659
2016-12-12,15:43,PJM,PPL,8410061002,2016,GS3,GS3,INT,31.1481
2016-12-12,15:43,PJM,PPL,8410061002,2017,GS3,GS3,INT,34.7756
2016-12-12,15:43,PJM,PPL,0941068006,2016,GS3,GS3,INT,106.853
2016-12-12,15:43,PJM,PPL,5674098004,2016,GS3,GS3,INT,57.5167
2016-12-12,15:43,PJM,PPL,2594099002,2016,GS3,GS3,INT,11.5831
2016-12-12,15:43,PJM,PPL,9667688010,2016,GS3,GS3,INT,603.064
2016-12-12,15:43,PJM,PPL,2345094020,2015,GS1,GS1,INT,6.52689
2016-12-12,15:43,PJM,PPL,8278081000,2016,GS3,GS3,INT,162.654
2016-12-12,15:43,PJM,PPL,8278081000,2017,GS3,GS3,INT,226.066
2016-12-12,15:43,PJM,PPL,1718075007,2016,GS3,GS3,INT,108.65
2016-12-12,15:43,PJM,PPL,1718075007,2017,GS3,GS3,INT,111.317
2016-12-12,15:43,PJM,PPL,9633074002,2016,GS3,GS3,INT,12.9752
2016-12-12,15:43,PJM,PPL,9633074002,2017,GS3,GS3,INT,33.3029
2016-12-12,15:43,PJM,PPL,6678083000,2016,GS1,GS1,INT,0.416628
2016-12-12,15:43,PJM,PPL,6678083000,2017,GS1,GS1,INT,3.37606
2016-12-12,15:43,PJM,PPL,0289076008,2016,GS3,GS3,INT,38.3309
2016-12-12,15:43,PJM,PPL,0289076008,2017,GS3,GS3,INT,43.0935
2016-12-12,15:43,PJM,PPL,8166079007,2016,GS3,GS3,INT,83.4675
2016-12-12,15:43,PJM,PPL,5590916005,2016,GS3,GS3,INT,29.1126
2016-12-12,15:43,PJM,PPL,9171106003,2016,GS3,GS3,INT,298.81
2016-12-12,15:43,PJM,PPL,1236070019,2016,GS3,GS3,INT,98.2134
2016-12-12,15:43,PJM,PPL,1236070019,2017,GS3,GS3,INT,105.464
2016-12-12,15:43,PJM,PPL,1416070017,2016,GS3,GS3,INT,175.631
